platform,content_type,content_topic,creator_category,post_hour,day_of_week,is_weekend,is_peak_time,caption_length,hashtag_count,mention_count,emoji_count,has_call_to_action,uses_trending_audio,carousel_slides,video_duration_sec,media_quality_score,sentiment_score_caption,followers_count,audience_active_percent,avg_past_engagement,posting_frequency_per_week,account_age_days,is_paid_promotion,ad_spend_usd,collaboration_flag,engagement_score
X,Text,Motivation,Media,6,2,0,0,204,6,3,3,1,0,1,0,7.81,-0.027,227278,68.69,1388.15,7.6,1321,1,198.32,0,1228.72
Instagram,Reel,News,Business,16,4,0,0,54,6,0,2,0,0,1,51,7.14,0.883,30338,54.43,1123.55,6.6,1149,0,0.0,0,1092.84
Facebook,Text,News,Business,10,5,1,0,38,9,1,1,0,0,1,0,7.38,0.195,30163,14.68,1097.62,2.2,624,0,0.0,0,811.13
YouTube Shorts,Video,Education,Educator,13,3,0,1,20,9,0,6,1,0,1,43,8.48,0.071,37899,48.08,1526.74,4.3,1030,0,0.0,0,1209.54
X,Image,Lifestyle,Personal Brand,3,5,1,0,20,10,1,0,1,0,1,0,7.24,1.0,90801,41.25,594.35,6.8,1373,0,0.0,0,871.06
Instagram,Carousel,News,Personal Brand,10,0,0,0,206,7,1,2,0,0,5,0,4.26,-0.153,25810,39.28,1149.82,4.4,375,1,70.77,0,926.51
Facebook,Carousel,Entertainment,Educator,1,4,0,0,138,4,2,2,0,0,7,0,6.99,-0.61,38546,78.64,518.1,5.2,1164,1,121.58,0,1107.41
YouTube Shorts,Video,Entertainment,Personal Brand,9,0,0,0,198,8,2,3,1,1,1,22,7.67,0.519,74264,52.7,723.19,5.7,1189,0,0.0,0,1178.63
Instagram,Carousel,Lifestyle,Educator,1,4,0,0,115,3,3,1,0,0,7,0,7.77,-0.344,35309,47.1,558.87,5.1,1130,0,0.0,0,949.99
Instagram,Carousel,Lifestyle,Business,20,2,0,1,129,3,0,8,1,0,6,0,6.23,0.111,84895,36.58,801.71,8.5,348,0,0.0,0,881.9
LinkedIn,Carousel,Education,Media,9,6,1,0,163,9,2,3,0,0,10,0,6.84,-0.089,110612,63.86,818.28,5.2,112,0,0.0,0,1250.48
YouTube Shorts,Reel,Education,Personal Brand,16,3,0,0,129,5,0,2,0,0,1,5,7.58,0.206,50089,26.95,778.32,4.6,558,0,0.0,0,985.98
Instagram,Carousel,Lifestyle,Personal Brand,23,3,0,0,142,12,1,2,1,0,6,0,7.83,-0.787,740,36.93,941.19,3.3,581,0,0.0,1,806.72
Instagram,Image,Product,Educator,1,5,1,0,117,7,0,3,0,0,1,0,7.05,0.196,11787,57.03,875.49,8.6,697,0,0.0,0,949.62
LinkedIn,Text,News,Influencer,8,4,0,0,139,4,2,4,1,0,1,0,6.68,-0.634,17956,46.66,1274.71,4.2,1064,0,0.0,0,1012.22
Facebook,Carousel,Lifestyle,Media,15,1,0,0,194,6,1,1,0,0,6,0,7.94,0.148,42173,32.92,696.53,1.5,523,0,0.0,0,940.19
X,Text,Entertainment,Influencer,18,3,0,1,248,12,1,1,1,0,1,0,7.77,-0.011,45779,53.74,92.26,5.8,815,0,0.0,0,927.22
YouTube Shorts,Reel,Behind-the-scenes,Personal Brand,23,6,1,0,123,12,3,4,1,0,1,47,8.1,0.263,7889,60.66,1158.45,4.7,1173,0,0.0,0,1049.33
X,Text,Product,Influencer,5,5,1,0,163,6,0,2,0,0,1,0,5.95,-0.451,21155,26.61,1262.33,4.8,195,0,0.0,0,903.82
X,Text,Product,Media,17,1,0,0,77,6,1,3,1,0,1,0,5.52,0.17,62005,60.93,743.41,2.7,732,0,0.0,0,1099.07
Instagram,Image,Entertainment,Influencer,5,2,0,0,122,10,1,1,0,0,1,0,6.76,-0.086,17463,51.41,176.52,11.5,301,0,0.0,0,830.85
X,Text,Education,Business,13,2,0,1,229,7,0,1,0,0,1,0,9.71,-0.109,3775,21.86,125.67,4.2,691,0,0.0,1,783.79
Facebook,Video,Education,Personal Brand,20,6,1,1,99,3,0,4,0,0,1,64,6.92,0.02,25748,48.26,30.0,1.4,931,0,0.0,0,847.66
Instagram,Reel,Entertainment,Business,1,5,1,0,46,14,3,8,0,1,1,61,5.67,0.051,55148,34.22,1143.57,3.6,896,1,120.77,0,1041.62
Facebook,Video,Motivation,Influencer,4,5,1,0,108,8,2,3,0,1,1,19,5.32,-0.343,5425,49.18,1464.77,6.6,976,0,0.0,0,1022.77
X,Image,Lifestyle,Influencer,4,2,0,0,119,6,2,3,1,0,1,0,7.56,-0.396,35599,37.24,505.06,3.6,534,1,626.01,1,982.97
Instagram,Reel,Motivation,Influencer,3,3,0,0,119,7,2,7,0,0,1,39,4.65,0.075,26959,47.38,1078.68,4.3,1057,0,0.0,0,990.16
YouTube Shorts,Video,Education,Personal Brand,7,0,0,0,139,7,0,1,0,1,1,26,8.25,0.461,129199,52.75,920.52,3.6,547,0,0.0,0,1145.94
Instagram,Video,Entertainment,Media,1,3,0,0,74,11,2,3,1,0,1,12,8.9,-0.371,21755,58.67,455.2,2.4,777,1,283.89,0,1081.3
YouTube Shorts,Video,Motivation,Influencer,0,4,0,0,220,9,1,2,1,0,1,31,10.0,0.573,7091,24.3,981.96,7.4,741,1,229.63,0,996.38
Instagram,Reel,Entertainment,Educator,8,4,0,0,174,8,2,3,0,1,1,18,7.76,0.386,32374,37.44,1301.73,7.5,1074,1,734.84,0,1148.42
Facebook,Carousel,Behind-the-scenes,Influencer,3,4,0,0,61,5,2,4,0,0,8,0,7.98,0.175,74877,44.18,839.2,4.4,404,0,0.0,0,1072.84
Instagram,Image,Product,Influencer,10,6,1,0,67,10,4,1,1,0,1,0,6.24,0.28,18436,68.63,1541.78,4.6,1017,1,177.24,0,1070.51
Instagram,Image,Education,Media,21,0,0,1,20,2,1,3,1,0,1,0,7.86,-0.248,25245,31.57,944.17,3.7,155,0,0.0,0,999.76
Instagram,Carousel,Entertainment,Educator,6,2,0,0,72,10,1,2,0,0,8,0,6.96,0.022,18596,73.49,201.44,4.3,600,1,445.53,0,955.2
Instagram,Carousel,Education,Personal Brand,0,2,0,0,186,12,3,1,0,0,7,0,9.81,-1.0,21310,45.06,345.46,5.4,662,1,184.67,0,1029.69
LinkedIn,Carousel,Product,Educator,0,6,1,0,239,10,3,4,0,0,7,0,8.58,0.288,23422,48.37,1275.33,5.9,704,0,0.0,0,1054.22
LinkedIn,Carousel,Motivation,Educator,16,4,0,0,108,8,1,2,1,0,6,0,5.74,0.612,27885,42.71,837.55,1.9,913,0,0.0,1,1008.97
Instagram,Image,Education,Influencer,13,4,0,1,146,11,0,0,1,0,1,0,7.98,-0.001,19099,66.83,701.35,6.9,1235,0,0.0,0,1008.12
Instagram,Image,Lifestyle,Influencer,6,6,1,0,81,14,2,2,1,0,1,0,3.8,-0.044,11308,71.61,942.17,3.1,757,0,0.0,0,1074.58
Instagram,Reel,Product,Influencer,17,1,0,0,36,4,1,2,1,1,1,73,8.42,0.149,6922,55.6,1547.66,5.4,1125,0,0.0,0,1021.07
LinkedIn,Text,Education,Personal Brand,20,3,0,1,167,1,2,4,0,0,1,0,8.33,-0.28,16138,59.35,362.21,3.3,752,0,0.0,0,893.87
YouTube Shorts,Video,Motivation,Personal Brand,4,6,1,0,72,7,3,2,1,0,1,52,7.73,-0.14,28804,43.61,601.4,2.7,589,0,0.0,0,1054.81
LinkedIn,Image,Entertainment,Business,3,5,1,0,241,9,1,3,0,0,1,0,7.49,0.482,4892,53.18,1404.56,2.6,472,0,0.0,0,951.6
X,Text,Product,Media,13,2,0,1,20,9,1,4,0,0,1,0,8.33,0.234,15270,54.53,332.42,3.0,817,1,14.68,1,980.6
YouTube Shorts,Video,Behind-the-scenes,Educator,16,1,0,0,20,9,1,3,1,1,1,56,4.94,-0.305,17467,54.97,768.71,7.5,585,0,0.0,0,1007.72
Instagram,Reel,Product,Personal Brand,15,2,0,0,235,6,1,2,1,0,1,42,2.76,0.006,9455,56.24,927.1,3.2,800,1,341.29,1,1039.31
X,Text,Product,Personal Brand,19,4,0,1,20,6,0,3,0,0,1,0,5.77,-0.021,37679,36.34,767.16,5.6,943,0,0.0,0,915.23
LinkedIn,Image,Education,Business,13,6,1,1,52,6,3,2,0,0,1,0,5.82,0.83,16448,38.29,1229.26,5.8,1454,0,0.0,0,979.68
Facebook,Carousel,Lifestyle,Influencer,15,0,0,0,226,12,1,4,0,0,5,0,6.97,1.0,4738,54.04,505.73,3.8,205,0,0.0,0,917.62
YouTube Shorts,Video,News,Influencer,20,4,0,1,152,8,2,3,0,0,1,44,8.74,-0.195,30386,32.3,302.87,5.9,1590,0,0.0,0,947.07
LinkedIn,Carousel,Entertainment,Personal Brand,4,3,0,0,182,12,2,3,1,0,5,0,7.04,0.023,8954,25.36,604.58,6.5,1173,0,0.0,0,754.39
LinkedIn,Image,Motivation,Media,11,4,0,1,198,2,1,3,1,0,1,0,7.66,-0.34,26253,50.1,30.0,5.4,1286,0,0.0,0,873.48
Instagram,Image,Behind-the-scenes,Educator,6,4,0,0,166,6,2,1,1,0,1,0,8.87,0.521,32807,38.22,858.07,6.0,813,0,0.0,0,1004.8
LinkedIn,Text,Lifestyle,Business,6,2,0,0,103,8,0,4,1,0,1,0,6.43,0.505,79072,62.67,1443.15,5.9,995,0,0.0,0,1176.57
YouTube Shorts,Video,Education,Media,1,1,0,0,197,10,1,1,1,0,1,63,7.48,0.295,28057,52.16,1100.99,7.2,1817,0,0.0,0,1127.23
X,Text,Education,Business,19,5,1,1,194,13,1,0,0,0,1,0,5.52,0.174,2463,29.78,305.61,3.9,1303,0,0.0,1,735.08
LinkedIn,Text,Lifestyle,Business,16,3,0,0,162,9,2,3,1,0,1,0,7.33,0.063,7297,24.36,1277.09,7.4,1340,0,0.0,0,819.53
LinkedIn,Text,Education,Business,4,2,0,0,94,7,1,6,1,0,1,0,7.37,-0.368,20543,26.31,656.0,4.8,797,0,0.0,0,942.93
YouTube Shorts,Reel,Motivation,Personal Brand,17,3,0,0,183,6,1,6,1,0,1,52,7.94,-0.39,14289,50.06,967.01,8.1,837,0,0.0,0,1054.84
LinkedIn,Text,Behind-the-scenes,Business,11,5,1,1,130,7,2,4,0,0,1,0,8.43,0.698,29682,44.54,502.91,5.6,297,0,0.0,0,1013.34
YouTube Shorts,Video,Lifestyle,Educator,3,0,0,0,207,10,1,6,0,1,1,78,7.32,0.334,81237,33.81,1136.23,3.7,733,0,0.0,0,979.25
Instagram,Carousel,Product,Media,15,2,0,0,259,5,0,3,0,0,6,0,9.13,0.924,44130,57.0,1130.2,6.8,1040,0,0.0,0,1036.15
LinkedIn,Text,Lifestyle,Personal Brand,18,0,0,1,189,7,2,6,1,0,1,0,6.16,0.164,46991,50.57,1304.18,3.5,521,0,0.0,0,1122.92
YouTube Shorts,Reel,Motivation,Personal Brand,21,5,1,1,171,8,1,1,0,0,1,39,7.28,0.729,55304,50.89,900.7,5.4,739,0,0.0,0,1198.45
Facebook,Video,Education,Media,16,0,0,0,237,4,1,1,0,1,1,18,7.87,-0.228,44717,47.71,1220.13,4.3,473,0,0.0,0,1007.6
LinkedIn,Carousel,Behind-the-scenes,Influencer,5,5,1,0,123,7,3,1,0,0,7,0,9.52,0.646,4525,29.68,990.95,4.1,479,0,0.0,0,1061.86
Instagram,Video,Education,Influencer,1,1,0,0,20,5,2,6,1,0,1,47,4.97,-0.026,29913,47.37,30.0,5.6,558,1,1056.23,0,909.01
Instagram,Image,Education,Business,17,3,0,0,20,7,0,2,0,0,1,0,6.1,0.113,11956,38.94,381.86,6.3,624,1,372.73,0,943.78
Facebook,Image,Entertainment,Educator,22,1,0,1,124,7,1,1,1,0,1,0,8.12,0.123,20223,25.29,1446.54,4.9,579,0,0.0,0,864.87
Instagram,Video,Product,Educator,21,3,0,1,112,8,1,0,0,0,1,48,6.0,-0.559,44437,38.85,1409.59,5.0,1460,0,0.0,0,920.18
LinkedIn,Carousel,Product,Business,19,5,1,1,147,4,3,1,0,0,8,0,8.16,0.243,44029,22.08,1445.76,5.7,1420,1,34.97,0,979.16
Instagram,Carousel,Behind-the-scenes,Influencer,22,4,0,1,175,3,1,5,1,0,10,0,5.96,-0.329,6507,44.11,674.82,4.5,207,0,0.0,0,870.55
X,Text,Motivation,Educator,9,4,0,0,146,4,3,3,1,0,1,0,8.27,0.296,23682,41.95,1563.43,8.0,582,0,0.0,0,1065.63
X,Image,Product,Influencer,13,3,0,1,51,9,0,2,0,0,1,0,5.95,0.34,6496,60.02,1137.75,5.5,37,0,0.0,0,959.85
Instagram,Carousel,Education,Personal Brand,9,2,0,0,85,3,0,4,0,0,2,0,7.08,-0.992,27092,46.38,416.62,2.7,1453,0,0.0,0,964.34
X,Image,News,Business,18,4,0,1,152,10,2,1,0,0,1,0,7.51,-0.307,16656,42.78,777.0,5.2,606,0,0.0,0,858.35
Instagram,Reel,News,Educator,13,1,0,1,153,5,2,5,1,1,1,27,9.89,-0.282,27537,42.34,1451.34,2.6,757,0,0.0,0,1265.68
X,Text,Entertainment,Business,8,4,0,0,115,3,5,3,1,0,1,0,7.31,0.782,2015,28.81,1480.32,8.0,1137,1,164.55,0,922.17
Facebook,Video,News,Personal Brand,9,1,0,0,239,5,0,6,1,1,1,17,5.71,0.292,7439,43.7,378.36,4.2,899,1,554.69,0,914.56
Facebook,Video,Product,Educator,21,6,1,1,156,10,0,2,0,1,1,63,5.76,-0.118,75804,46.61,779.14,4.8,554,1,646.2,0,974.96
Instagram,Carousel,Education,Influencer,13,4,0,1,43,7,2,1,1,0,8,0,6.87,-0.039,5364,35.88,558.56,6.1,906,0,0.0,1,956.32
Instagram,Image,Motivation,Personal Brand,8,3,0,0,96,8,0,2,0,0,1,0,6.08,0.687,7801,36.5,1072.09,6.5,626,0,0.0,1,852.95
LinkedIn,Text,Product,Influencer,6,1,0,0,79,7,0,3,1,0,1,0,8.51,0.335,57479,31.35,1432.71,4.3,713,0,0.0,0,932.12
Instagram,Image,Product,Media,6,0,0,0,39,11,0,2,1,0,1,0,7.46,0.357,31049,48.81,1503.61,3.7,786,0,0.0,0,1045.26
X,Text,News,Educator,6,2,0,0,135,6,1,5,0,0,1,0,6.71,0.33,55831,68.72,139.2,3.0,1123,0,0.0,0,930.63
Instagram,Carousel,Entertainment,Educator,20,2,0,1,180,5,2,8,1,0,9,0,6.43,0.752,26457,25.12,1158.32,5.2,763,0,0.0,0,915.18
Instagram,Reel,Motivation,Personal Brand,1,0,0,0,122,8,1,4,0,0,1,71,6.82,-0.446,55937,56.0,364.72,6.3,1504,0,0.0,0,985.03
YouTube Shorts,Video,Motivation,Educator,6,5,1,0,100,9,0,5,1,0,1,35,5.75,0.442,6731,51.68,1949.73,5.0,589,0,0.0,0,902.51
LinkedIn,Image,Motivation,Influencer,4,2,0,0,189,13,2,5,0,0,1,0,7.46,1.0,11645,45.73,1097.18,1.5,259,1,67.3,0,1001.95
X,Text,Education,Business,11,0,0,1,233,8,2,5,0,0,1,0,7.02,-0.161,16944,60.59,1649.99,1.0,615,0,0.0,0,990.96
Instagram,Reel,News,Personal Brand,21,3,0,1,140,6,1,2,0,1,1,42,8.89,-0.022,2304,47.68,30.0,3.9,427,0,0.0,0,867.45
LinkedIn,Carousel,Entertainment,Personal Brand,23,1,0,0,92,5,2,2,1,0,7,0,6.57,0.196,8750,57.01,914.68,2.3,1022,0,0.0,1,986.72
Facebook,Text,Education,Influencer,3,2,0,0,20,4,1,4,1,0,1,0,8.78,0.153,44454,54.47,806.15,7.9,325,0,0.0,0,936.71
X,Video,Lifestyle,Educator,3,6,1,0,105,6,2,7,1,1,1,43,9.1,0.45,82144,53.47,575.84,1.2,1363,0,0.0,0,1047.24
Instagram,Carousel,Motivation,Business,23,2,0,0,69,6,2,2,0,0,5,0,5.54,0.381,119466,41.85,30.0,3.0,988,0,0.0,0,924.83
Facebook,Text,Education,Media,23,4,0,0,117,7,0,4,1,0,1,0,4.97,-0.29,47877,44.44,850.08,5.7,1127,0,0.0,0,973.31
Instagram,Carousel,Entertainment,Influencer,2,2,0,0,108,8,0,1,0,0,7,0,7.36,-0.235,16204,43.78,761.13,7.4,1210,1,226.18,0,1019.94
Facebook,Video,Product,Media,19,1,0,1,206,6,1,2,1,1,1,40,8.33,-0.187,14535,40.76,1881.77,5.0,576,0,0.0,0,1131.9
Instagram,Image,Entertainment,Business,12,6,1,1,20,6,1,4,0,0,1,0,6.86,0.884,7080,57.44,1572.78,2.8,773,1,453.33,0,1132.39
Instagram,Video,Product,Personal Brand,15,2,0,0,256,6,4,2,0,0,1,23,5.29,0.14,1271,46.39,954.02,1.0,1381,0,0.0,1,867.49
Instagram,Image,Entertainment,Educator,22,1,0,1,174,6,3,2,1,0,1,0,6.33,0.506,1019,45.47,1195.68,2.8,614,1,1061.56,0,859.52
LinkedIn,Text,Education,Educator,15,2,0,0,105,8,4,3,0,0,1,0,7.14,0.121,37828,31.42,1142.95,1.0,873,0,0.0,0,959.41
Instagram,Reel,Lifestyle,Media,20,5,1,1,63,6,3,6,1,0,1,68,10.0,1.0,17175,24.66,1937.05,4.9,30,0,0.0,0,984.36
YouTube Shorts,Video,Motivation,Media,1,6,1,0,181,9,2,4,1,0,1,40,5.53,-0.084,9490,40.49,1565.84,3.7,30,0,0.0,0,1020.0
YouTube Shorts,Video,Motivation,Personal Brand,11,6,1,1,167,5,0,3,0,1,1,44,9.01,0.147,22395,29.08,2013.25,1.8,712,0,0.0,0,1174.6
Facebook,Video,Product,Educator,19,6,1,1,119,7,2,4,0,0,1,44,4.78,0.52,10002,46.94,30.0,9.0,752,1,82.07,0,847.76
Instagram,Reel,Education,Business,23,3,0,0,93,6,3,4,0,0,1,15,7.42,0.988,18862,29.15,870.31,6.4,1120,0,0.0,1,995.01
X,Text,Product,Educator,10,5,1,0,211,5,0,2,1,0,1,0,9.0,0.151,13159,44.37,425.21,3.9,1200,0,0.0,0,887.87
YouTube Shorts,Video,Entertainment,Business,11,2,0,1,98,9,1,5,1,0,1,8,8.92,-0.29,29938,29.85,227.17,1.0,495,0,0.0,0,890.83
Facebook,Text,Product,Business,7,6,1,0,212,7,3,3,1,0,1,0,6.75,0.096,12158,54.29,1840.61,5.3,1610,0,0.0,1,1207.41
Facebook,Video,Behind-the-scenes,Media,21,3,0,1,88,7,1,3,1,0,1,26,7.2,-0.298,22504,59.17,850.77,5.2,1351,0,0.0,1,1120.54
Instagram,Carousel,Behind-the-scenes,Business,14,4,0,0,158,9,1,3,0,0,5,0,5.87,0.09,46586,61.66,1627.89,1.5,578,1,245.97,0,1141.27
Instagram,Reel,Behind-the-scenes,Educator,23,2,0,0,88,5,0,4,0,0,1,5,9.35,0.177,42832,65.48,172.39,1.9,1256,0,0.0,0,992.04
LinkedIn,Text,Lifestyle,Influencer,7,0,0,0,93,8,2,2,1,0,1,0,6.52,-0.443,16516,55.51,1660.55,2.5,806,0,0.0,0,1062.71
YouTube Shorts,Reel,Education,Influencer,13,6,1,1,244,6,1,3,0,0,1,56,5.04,0.725,31998,29.66,882.78,5.8,1127,0,0.0,0,1038.16
Instagram,Carousel,Product,Business,7,4,0,0,168,7,0,4,0,0,5,0,5.42,0.605,10690,35.55,30.0,1.8,540,1,72.32,0,805.17
Instagram,Image,Education,Educator,18,6,1,1,179,4,1,6,0,0,1,0,8.44,0.374,91329,35.93,776.15,6.8,567,0,0.0,0,1039.47
YouTube Shorts,Video,Behind-the-scenes,Business,5,5,1,0,289,3,2,4,0,0,1,8,6.31,-0.173,32261,43.35,649.2,5.4,549,0,0.0,0,880.16
Facebook,Image,News,Media,9,6,1,0,122,8,0,1,0,0,1,0,7.55,0.664,21786,88.63,855.92,6.4,1018,1,147.51,0,1132.08
Instagram,Carousel,Product,Business,11,6,1,1,55,8,1,3,0,0,6,0,7.69,0.428,16367,46.76,829.17,4.2,516,0,0.0,0,1021.48
Instagram,Reel,Behind-the-scenes,Influencer,12,3,0,1,88,8,0,4,1,0,1,34,7.76,0.08,3079,30.26,775.75,3.8,619,0,0.0,0,885.94
X,Text,Entertainment,Business,13,2,0,1,158,7,2,6,1,0,1,0,8.77,0.561,39968,37.22,1294.9,6.9,30,1,1488.78,0,1034.31
Facebook,Text,Behind-the-scenes,Business,10,1,0,0,119,8,1,6,1,0,1,0,9.69,0.355,4433,35.79,1683.35,1.9,585,0,0.0,0,906.6
Instagram,Carousel,Lifestyle,Personal Brand,11,4,0,1,162,10,1,2,1,0,5,0,10.0,-0.618,49687,50.41,30.0,7.2,265,1,332.48,0,995.07
X,Image,Product,Media,4,6,1,0,161,6,2,3,0,0,1,0,6.95,0.01,3337,73.88,95.78,5.4,1039,0,0.0,0,920.07
Instagram,Image,Education,Media,18,3,0,1,86,6,0,4,0,0,1,0,7.59,-0.307,36046,56.72,278.85,5.4,638,0,0.0,1,1005.22
Instagram,Image,Product,Media,0,1,0,0,234,6,3,1,0,0,1,0,5.31,0.598,23961,46.77,558.97,1.3,1870,1,501.77,0,843.04
X,Video,Product,Educator,9,4,0,0,96,8,2,5,1,0,1,11,8.82,0.26,31466,42.4,904.65,6.7,30,1,98.53,0,975.37
Instagram,Image,Product,Educator,14,6,1,0,206,10,0,2,0,0,1,0,9.16,1.0,60165,50.95,932.22,5.3,506,0,0.0,0,1064.95
X,Image,Lifestyle,Media,15,3,0,0,70,5,2,3,0,0,1,0,4.87,-0.441,155722,60.57,1181.21,3.9,1354,0,0.0,1,1091.19
Instagram,Video,Entertainment,Educator,7,2,0,0,126,9,4,2,0,1,1,5,9.32,-0.006,39121,45.2,1196.54,7.0,137,0,0.0,0,1176.3
Instagram,Video,Entertainment,Influencer,12,0,0,1,115,5,1,2,0,0,1,46,6.66,-0.614,15712,51.22,943.05,6.1,297,1,189.67,0,1040.93
Facebook,Carousel,Motivation,Business,15,5,1,0,20,7,1,3,1,0,8,0,5.13,-0.097,4018,48.2,828.97,2.6,166,0,0.0,1,946.08
X,Video,News,Personal Brand,7,3,0,0,168,10,0,7,1,1,1,45,8.35,0.353,15850,41.62,48.58,5.5,1186,0,0.0,1,972.38
LinkedIn,Text,Lifestyle,Business,15,2,0,0,186,8,2,5,1,0,1,0,7.89,0.269,46167,41.53,268.14,5.8,93,0,0.0,1,1029.08
Instagram,Image,Entertainment,Business,12,6,1,1,217,7,2,2,0,0,1,0,6.66,0.426,14850,32.25,147.09,8.2,1576,0,0.0,0,950.97
Instagram,Image,News,Educator,22,2,0,1,187,10,0,1,1,0,1,0,7.95,0.631,23792,68.42,567.05,5.8,990,0,0.0,1,1068.51
Instagram,Reel,Motivation,Educator,19,5,1,1,20,13,1,6,1,1,1,31,7.62,-0.673,12624,45.13,1476.47,8.4,651,0,0.0,0,897.57
LinkedIn,Text,Product,Educator,11,4,0,1,181,9,0,1,0,0,1,0,5.38,0.572,38229,45.42,734.72,6.7,928,0,0.0,0,871.98
Facebook,Text,Product,Influencer,11,5,1,1,91,8,0,3,0,0,1,0,9.17,0.328,21134,73.48,30.0,7.2,263,0,0.0,0,991.83
Instagram,Reel,Lifestyle,Educator,16,2,0,0,160,8,1,4,1,0,1,65,7.74,0.596,101806,34.99,30.0,4.4,529,0,0.0,0,1000.19
Facebook,Video,Lifestyle,Personal Brand,7,2,0,0,242,11,2,3,0,0,1,55,7.07,-0.037,39721,46.23,1676.91,3.3,466,1,213.08,0,958.21
X,Text,Education,Personal Brand,16,2,0,0,56,6,0,4,1,0,1,0,6.51,0.989,12322,52.81,1331.92,3.0,520,0,0.0,0,1013.26
LinkedIn,Image,News,Influencer,5,0,0,0,235,5,2,4,1,0,1,0,7.86,1.0,18079,51.26,555.17,6.7,868,0,0.0,0,956.57
Instagram,Video,News,Business,12,5,1,1,121,10,0,5,0,0,1,12,6.71,0.322,6099,36.34,834.27,2.8,1532,0,0.0,0,822.34
X,Image,Product,Influencer,14,0,0,0,125,5,1,3,1,0,1,0,5.43,0.433,13620,48.51,1336.44,5.7,1092,0,0.0,0,1034.58
X,Text,Motivation,Media,8,0,0,0,239,7,0,3,0,0,1,0,7.6,-0.1,26733,61.93,487.29,4.6,750,0,0.0,0,1013.14
Instagram,Reel,Product,Influencer,14,1,0,0,64,11,2,4,1,0,1,38,5.24,0.324,13263,50.24,395.72,7.2,682,1,111.85,1,963.37
X,Image,Product,Educator,22,0,0,1,114,9,1,4,0,0,1,0,8.98,0.729,15168,29.49,838.4,3.1,1738,1,683.58,0,963.74
Instagram,Carousel,Product,Business,17,6,1,0,180,2,1,4,0,0,8,0,7.14,0.554,10111,37.76,1594.63,2.9,1485,0,0.0,0,970.63
Instagram,Reel,Entertainment,Influencer,2,3,0,0,64,7,0,6,0,1,1,21,6.84,0.369,13958,31.49,740.27,5.5,1182,1,203.02,1,979.28
Instagram,Image,Motivation,Personal Brand,18,5,1,1,167,3,0,4,0,0,1,0,7.84,0.209,57303,16.05,966.87,5.8,1034,0,0.0,0,953.49
Facebook,Image,Education,Business,23,1,0,0,183,6,0,4,0,0,1,0,7.41,-0.12,20686,58.59,1082.76,1.3,329,0,0.0,0,849.57
Instagram,Video,Product,Media,10,2,0,0,115,7,0,3,0,0,1,38,8.58,-0.704,13086,39.35,727.69,3.5,421,1,151.95,0,926.21
Facebook,Text,Entertainment,Influencer,23,2,0,0,106,9,1,4,1,0,1,0,6.96,-0.441,8766,29.11,1417.79,4.0,535,0,0.0,0,854.39
Instagram,Carousel,Education,Personal Brand,23,1,0,0,138,4,0,1,1,0,8,0,8.59,-0.106,16510,30.98,1278.17,2.4,1153,1,33.22,0,864.07
